Token,Lema,POS,Freq,Declinação,Definição
pugnae,pugna,NOUN,34,1,"A fight fist to fist, man to man; hence, in gen., a fight between individuals or armies, a battle, combat, action, engagement (cf.: dimicatio, proelium)."
traducit,traduco,VERB,34,-,"Imv. traduce, Ter. Heaut. , , ; id. Ad. , , ; perf. sync. traduxti, Plaut. Cas. , , ; inf. parag. transducier, id. Most. , , ; Ter. Ad. , , ),  trans-duco, to lead, bring, or conduct across; to lead, bring, or carry over any thing (syn. traicio)."
facile,facilis,ADJ,34,-,"Nom. sing. facil, Plaut. Trin. , , ; adv. facul, like difficul, simul; v. under adv. , and cf. Paul. ex Fest. p.  Müll.), [facio, properly, that may be done or made; hence, pregn.], easy to do, easy, without difficulty."
duce,dux,NOUN,34,3,"A leader, conductor, guide (for syn. cf.: imperator, ductor, tyrannus, rex, princeps, praetor, auctor)."
principes,princeps,NOUN,34,-,"As subst.: princeps, cĭpis, m., the first man, first person: princeps senatŭs,the first senator on the censor's list, the first member of the Senate,Liv. , ."
insecuti,insequor,VERB,33,-,"V. dep. n. and a., to follow, to follow after or upon a person or thing (class.)."
dimittit,dimitto,VERB,33,-,"With particular reference to the prep., to send different ways, to send apart, i. e."
amicitiam,amicitia,NOUN,33,1,"Gen. sing. amicitiāï, Lucr. , ; acc. amicitiem, id. ,  Lachm.; cf. Charis. p.  P., and Neue, Formenl. I. p. ) [amicus], friendship (very freq. in Cic., occurring more than  times)."
facultatem,facultas,NOUN,33,3,"Gen. plur.: facultatum,Cic. Off. , ,  al.: facultatium,Dig. , , , § ; Col. , , ), f.facul, facilis; cf.: difficultas, simultas, capability, possibility, power, means, opportunity; skill, ability to do any thing easily (class.; syn.: dotes, virtutes,   ingenium, indoles)."
gratiam,gratia,NOUN,32,1,"Favor which one shows to another, mark of favor, kindness, courtesy, service, obligation."
usus,usus,NOUN,32,-,"ūsus, a, um, Part. of utor."
audiebat,audio,VERB,32,-,In gen.
tertia,tertius,ADJ,32,-,"Num. ord. adj. [ter], the third."
pace,pax,NOUN,31,3,"Plur.: hostibus victis, pacibus perfectis, etc.,Plaut. Pers. , , ; Varr. ap. Non. , : jura,  judicia, bella atque paces penes paucos erant, Sall. J. , ; Hor. Ep. , , ; , ,  (Lucr. , , ventorum paces is spurious; v. Lachm.)."
romanorum,romanum,NOUN,31,-,Def. não encontrada
iniuria,iniurius,ADJ,31,-,Def. não encontrada
amplius,ample,ADV,31,-,"amplē, , v. amplus"
vim,vis,NOUN,31,3,In gen.
media,medius,ADJ,31,-,"That is in the middle or midst, mid, middle (class.)."
singulis,singulus,ADJ,31,-,"singŭlus, a, um, v. singuli."
celeritate,celeritas,NOUN,31,3,celer
maxime,magne,ADV,31,-,"magne, l. fals. for magna, Tac. A. , ."
venerunt,venero,VERB,31,-,"vĕnĕro, āre, v. veneror"
itaque,itaque,ADV,31,-,"And so, accordingly, therefore, for that reason, consequently (for syn. cf. igitur, idcirco, ideo, ergo): itaque ipse mea legens, sic adficior interdum,Cic. Lael. : itaque rem suscipit et a Sequanis impetrat,Caes. B. G. , ; id. B. C. , ; Tac. Agr. ."
domum,domus,NOUN,31,2,"A house, home (for syn. cf. aedes, casa, domicilium, habitatio; mansio, sedes, tectum, tugurium; aedificium, moles). —Forms of the cases."
satis,satis,ADV,31,-,"Enough, sufficiently (objectively, so that one needs nothing more; whereas affatim subjectively, so that one wishes nothing more)."
veritus,vero,VERB,30,-,Fin. B.
iussit,iusso,VERB,30,-,Def. não encontrada
potestatem,potestas,NOUN,30,3,"Gen. plur. potestatium, Sen. Ep. , ; Plin. , , , § ), f. possum."
communi,communis,ADJ,30,-,"Subst.: commūne, is, n., that which is common."
auderent,audeo,VERB,30,-,"audĕo, ausus, , v. a. and n. ("
efficere,efficio,VERB,30,-,"Perf. subj. effexis, Plaut. As. , , ; id. Poen. , , ; inf. pass. ecfiĕri, id. Pers. , , ; Lucr. , ), v. a., to make out, work out; hence, to bring to pass, to effect, execute, complete, accomplish, make, form (very freq. in all periods and sorts of writing)."
magnitudine,magnitudo,NOUN,30,3,"Greatness, size, bulk, magnitude (class.)."
occupatis,occupo,VERB,30,-,"Occupassit for occupaverit,id. As. , , ), v. a.obcapio; lit., to lay hold of; hence, to take possession of, seize, occupy any thing (esp. a place; class.; cf.: expugno, obsideo)."
hostem,hostim,NOUN,30,-,Def. não encontrada
conati,conor,VERB,30,-,"V. dep., to undertake, endeavor, attempt, try, venture, presume, etc. (freq. and class.; syn. molior,Ter. Heaut. , , ; opp. facere,Cic. Rosc. Am. , ; opp. perficere,id. Or. , ); constr. with acc., inf., rarely with abl. of the gerund., or absol."
instructa,instruo,VERB,30,-,"Perf. sync. instruxti, Plaut. Mil. , , ), ctum, , v. a., to build in or into; to build,, erect, construct (class.)."
accessisset,accedo,VERB,29,-,"Perf. sync., accēstis, Verg. A. , ), to go or come to or near, to approach (class.)."
inferrent,infero,VERB,29,-,"To carry, bring, put, or throw into or to a place (class.); constr. with in and acc., ad, or the dat."
dum,dum,SCONJ,29,-,"Conj. [for dium, acc. from dius; cf. diu, Corss. Ausspr. , ], denotes the temporal relation of two actions to cach other"
collocavit,colloco,VERB,29,-,"To place together, to arrange, to station, lay, put, place, set, set up, erect, etc., a thing (or person) somewhere (class. in prose and poetry; cf.: statuo, pono, sisto)."
dispositis,dispono,VERB,29,-,"V. a., to place here and there, to set in different places, to distribute regularly, to dispose, arrange (cf. dispenso, II.—freq. and class.)."
defendere,defendo,VERB,29,-,"Transf., like prohibere, with acc. of that from which any thing is warded off or averted, to defend, guard, protect, cover."
frumentaria,frumentaris,ADJ,29,-,Def. não encontrada
tantum,tantum,ADV,29,-,"tantum, , v. tantus"
altitudinem,altitudo,NOUN,28,3,"Height or depth (cf. alo, p. a. init.)."
tela,tela,NOUN,28,1,A web.
ulla,ullus,DET,28,-,"Gen. ullīus; dat. ulli (gen. sing. ulli, Plaut. Truc. , , ), adj. dim. [for unulus, dim. of unus], any, any one (usu. in neg. sentences; corresp. with aliquis in affirmations)."
resistere,resisto,VERB,28,-,Def. não encontrada
clamore,clamor,NOUN,28,-,"Poet., of animals, a cry: gruum,Lucr. , ; , : mergorum,Verg. G. , : apum,id. ib. ,  al.—Of things, noise, sound, din: nubis,Lucr. , : ter scopuli clamorem inter cava saxa dedere,Verg. A. , : montium silvaeque,Hor. C. , , ."
quin,quin,SCONJ,28,-,Conj. [abl. quī and ne].
item,item,ADV,28,-,"Esp.: non item, but not: spectaculum uni Crasso jucundum, ceteris non item,Cic. Att. , , : corporum offensiones sine culpa accidere possunt, animorum non item,id. Tusc. , , : in libero servant, in libera non item,id. N. D. , , ."
venit,vigo,VERB,28,-,Def. não encontrada
haeduorum,haeduus,ADJ,28,-,Def. não encontrada
velint,volo,VERB,28,-,In gen.
aggere,agger,NOUN,28,3,In milit. lang.
publicae,publicus,ADJ,28,-,"Of or belonging to the people, State, or community; that is done for the sake or at the expense of the State; public, common."
labienum,labien,NOUN,28,-,Def. não encontrada
reliquis,reliquis,ADJ,28,-,Def. não encontrada
iudicaret,iudico,VERB,28,-,Def. não encontrada
ordinibus,ordo,NOUN,28,3,"A regular row, line, or series, methodical arrangement, order (class.; syn.: series, tenor)."
labienus,labienus,NOUN,28,2,The name of several Romans. In partic.
extremum,exterior,ADJ,28,-,"extĕrĭor, us, v. exter, II."
opinionem,opinio,NOUN,28,3,"Opinion, supposition, conjecture, imagination, fancy, belief (class.)."
casu,casus,NOUN,28,-,"Lit., a falling (acc. to cado, I. A. and C.)."
nuntiata,nuntio,VERB,28,-,"To announce, declare, report, relate, narrate, make known, inform, give intelligence of, etc. (cf.: narro, indico, trado, scribo, dico, certiorem facio, etc.)."
rursus,rursus,ADV,27,-,"Turned back or backwards, back, backwards (opp. prorsus): rursus retro, Non."
coniungit,coniungo,VERB,27,-,Def. não encontrada
prius,prius,ADV,27,-,"prĭus and prĭusquam, v. prior"
postero,posterus,ADJ,27,-,"Nom. sing. masc.), a, um, adj.—Comp: posterior, us.—Sup.: postremus or postumus, a, um [post], coming after, following, next, ensuing, future."
nisi,nisi,SCONJ,27,-,"Conj., if not, unless."
numero,numero,ADV,27,-,"To count, reckon, number (syn. recenseo)."
quisquam,quisquam,DET,27,-,"Abl. masc. quoquam, very rare, Liv. , ,  Weissenb. ad loc., and , , ; Suet. Caes. ), pron. indef., any, any one, any body, any thing, something (cf.: aliquis, ullus, quispiam)."
legatis,legatum,NOUN,27,2,Fin. .
nuntiis,nuntius,NOUN,27,-,Usually as subst.
subsidio,subsidium,NOUN,27,2,Milit. t. t.
galliae,gallia,PROPN,27,-,"Gallia, ae, v. . Galli, II. A."
noctu,noctus,NOUN,26,-,"noctus, ūs, v. nox"
etsi,etsi,SCONJ,26,-,"Conj. [et, II. H.], like etiamsi, a concessive conditional particle, though, although, albeit."
itineribus,itieer,NOUN,26,-,Def. não encontrada
oppugnare,oppugno,VERB,26,-,"Inf. fut. oppugnassere, Plaut. Am. , , ; v. Roby, Gram. ,  sq.), ,  obpugno, to fight against, to attack, assail, assault, storm, besiege, war with (class.; cf.: obsideo, occupo)."
senatus,senatus,NOUN,26,-,"Trop., a council, i. e. consultation (mostly ante-class.): de re argentariā senatum convocare in corde consiliarium,Plaut. Ep. , , : sibi senatum consili in cor convocare,id. Most. , , ; , , ; id. Mil. , , : deūm,Mart. Cap. , § ."
reduxit,reduco,VERB,26,-,"Imp. redduce, Ter. Hec. , , ), v. a."
castrorum,castrum,NOUN,26,-,"In sing., any fortified place; a castle, fort, fortress (more rare than castellum): ei Grunium dederat in Phrygiā castrum, etc.,Nep. Alcib. , ; Liv. . , ; Dig. , ,  fin."
galli,gallus,ADJ,26,2,"kindr. to Sanscr. grī, cry; Gr. γῆρυς, speech; Lat. garrio, garrulus; Engl. call"
obtinere,obtineo,VERB,26,-,"Perf. OPTENVI, fifth Epit. of the Scipios; inf. pass. obtinerier, Plaut. Am. , , ; id. Most. , , ),  and n. teneo."
gallos,gallus,NOUN,26,2,"kindr. to Sanscr. grī, cry; Gr. γῆρυς, speech; Lat. garrio, garrulus; Engl. call"
defertur,defero,VERB,25,-,"V. a., to bear or bring away a thing from a place; to bear, carry, bring down."
conspectu,conspectus,NOUN,25,-,"conspectus, a, um, Part. and , from conspicio."
crassus,crassus,ADJ,25,-,"Solid, thick, dense, fat, gross, etc. (freq. and class. in prose and poetry)."
paulo,paulus,ADV,25,-,"In gen., little, small (anteclass. and poet.): paulo momento huc vel illuc impelli,Ter. And. , , : paulo sumptu,id. Ad. , , : pauper a paulo lare,Varr. L. L. , §  Müll.: paula trua, Titin. ap. Non. , ."
equo,equus,NOUN,25,2,"Gen. plur. equūm, Verg. G. , ; Stat. Th. ,  al.), m. Sanscr. acvas; Gr. ἵππος (ἴκκος); cf. Epŏna; root, ak-, to be sharp or swift; cf. Gr. ἄκρος, ὠκύς; Lat. acus, ocior, a horse, steed, charger."
premi,premo,VERB,25,-,To press (class.).
fratres,frater,NOUN,25,3,A brother.
initium,initium,NOUN,25,2,"A going in, en trance."
quantum,quantum,ADV,25,-,"quantum, , v. quantus"
agris,agr,NOUN,25,-,Def. não encontrada
consuerunt,consuero,VERB,25,-,Def. não encontrada
subito,subito,ADV,25,-,P. a. fin.
superatis,supero,VERB,25,-,A. [id.].
exploratores,explorator,NOUN,24,-,"A searcher out, examiner, explorer; a prying person, a spy (not in Cic.)"
cohortatus,cohorto,VERB,24,-,"To exhort, encourage: et dicerent castra capta esse, atque hos cohortarent uti maturarent, Quadrig. ap. Non. p. , : exercitus pransus, paratus, cohortatus, Cat. ap. Gell. , , ; v. cohortor."
litteris,littera,NOUN,24,1,"A letter, a written sign or mark signifying a sound."
remorum,remus,NOUN,24,2,An oar.
gallis,galla,NOUN,24,1,"Oak-apple, gall-nut, Plin. , , , § ; , , , § ; Col. , , ; Mart. Cap. , § .—Plur., Col. , , . —In a pun with Galla, a female Gaul; v. . Galli, I."
obsidibus,obsidus,NOUN,24,-,Def. não encontrada
pertinet,pertineo,VERB,24,-,"To stretch out, reach, extend to a place; to arrive at a place (class., esp. in the trop. signif.); constr. with ad and acc., or with advv.; very rarely with in or per and acc.; v.infra."
agmen,agmen,NOUN,24,3,"as if contr. from agimen, from ago; cf.: tegimen, tegmen, from tego."
administrare,administro,VERB,24,-,"ad-mĭnistro, āvi, ātum,"
dimicandum,dimico,VERB,24,-,"Dimicaverant,Caes. B. C. , , ; dimicassent,Vell. , ,  al.; dimicuisse,Ov. Am. , , ; , , ), ātum, , , lit., to brandish one's weapons against the enemy, i. e. to fight, struggle, contend (freq. and class.)."
portis,porta,NOUN,24,1,"A city-gate, a gate."
vero,vero,PART,24,-,Fin. B.
amissis,amitto,VERB,24,-,"Amīssis, sync., = amiseris,Plaut. Bacch. , , )."
reperit,reperio,VERB,24,-,In partic.
legati,legatus,ADJ,24,-,Fin. .
iure,ius,NOUN,24,-,Def. não encontrada
vellet,velleo,VERB,24,-,Def. não encontrada
fossam,fossa,NOUN,24,1,"A ditch, trench, fosse (syn.: fovea, scrobs, fossio)."
pari,par,ADJ,24,-,"Nom. fem. paris, Atta ap. Prisc. p.  P.—Abl. pari and pare, acc. to Charis. p.  P.; Prisc. p.  ib.; the latterpoet.—Gen. plur. usu. parĭum; parum, acc. to Plin. ap. Charis. p.  P.), adj. cf. Sanscr. para, another, and prae, equal (cf.: aequus, similis)."
vercingetorix,vercingetorix,PROPN,24,3,"A commander of the Gauls in the Gallic War, Caes. B. G. ,  sq.; Flor. , , ."
simul,simul,ADV,23,-,"Referring, as temporal adverb, to plural nouns of the same sentence, and representing persons or things as acting, happening, etc., simultaneously."
eruptionem,eruptio,NOUN,23,3,"A breaking out, bursting forth."
legibus,lex,NOUN,23,3,"A proposition or motion for a law made to the people by a magistrate, a bill (cf. institutum)."
educit,educo,VERB,23,-,"Imper., educe, Plaut. Pers. , , ; id. Stich. , , : educ,Cic. Cat. , , ; Alcim. ,  al.—Inf. pass. parag., educier, Plaut. Truc. , ), , to lead forth, draw out, bring away (very freq. and class.)."
armatorum,armo,VERB,23,-,"armo, āvi, ātum, , v. a.arma."
comparatis,comparo,VERB,23,-,"To couple together in the same relation, to connect in pairs, to pair, match, unite, join; constr. aliquid cum aliquā re, alicui rei, aliqua inter se, or absol."
italiam,italis,ADJ,23,-,Def. não encontrada
propterea,propterea,ADV,23,-,"proptĕrĕā, propter-is"
undique,unusquisque,DET,23,-,"ūnusquisque, v. unus, II. B. ."
aliquem,aliqui,DET,23,-,"ălĭqui, aliqua, aliquod; plur. aliqui, aliquae, aliqua [alius-qui; v. aliquis] (the"
praedae,praeda,NOUN,23,1,"Abl. sing. PRAEDAD. Inscr. Col. Rostr.), f. for praehenda, from praehendo, v. prehendo, property taken in war, booty, spoil, plunder, pillage (syn.: exuviae, spolium)."
hiberna,hiberna,NOUN,23,-,"v. hibernus, II. B."
equitatus,equitatus,NOUN,23,-,"In abstr., = equitatio, a riding: atteri equitatu,Plin. , , , § ."
paulum,paulus,ADJ,23,-,"In gen., little, small (anteclass. and poet.): paulo momento huc vel illuc impelli,Ter. And. , , : paulo sumptu,id. Ad. , , : pauper a paulo lare,Varr. L. L. , §  Müll.: paula trua, Titin. ap. Non. , ."
consistere,consisto,VERB,23,-,"V. n., to place one's self anywhere, to stand still, stand, halt, stop, make a stop (very freq. and class. in prose and poetry)."
inopia,inopia,NOUN,23,1,"Want, lack, scarcity."
treverorum,treverus,NOUN,23,-,Def. não encontrada
helvetii,helvetium,NOUN,23,-,Def. não encontrada
more,mos,NOUN,23,3,"Manner, custom, way, usage, practice, fashion, wont, as determined not by the laws, but by men's will and pleasure, humor, self-will, caprice (class.; cf.: consuetudo, usus)."
aedui,aeduus,ADJ,23,-,Def. não encontrada
processisset,procedo,VERB,22,-,"To go forth or before, to go forwards, advance, proceed (class.; cf.: progredior, prodeo)."
docet,doceo,VERB,22,-,"To teach, instruct, inform, show, tell, etc. (for syn. cf.: edoceo, perdoceo, erudio, praecipio, instituo)."
cohortibus,cohortus,NOUN,22,-,Def. não encontrada
perspecta,perspicio,VERB,22,-,"To look or see through, to look into, look at."
perturbatis,perturbo,VERB,22,-,"To throw into confusion or disorder, to confuse, disturb (cf.: confundo, misceo)."
idoneum,idoneus,ADJ,22,-,"ĭdōnĕus, a, um, adj.Sanscr. root indh-, idh-, to kindle; prop. bright, conspicuous; cf. Idus"
oratione,oratio,NOUN,22,3,"A speaking, speech, discourse, language"
memoria,memoria,NOUN,22,1,Transf.
supra,supra,ADV,22,-,"Adv., on the upper side, on the top, above."
postulabat,postulo,VERB,22,-,"To ask, demand, require, request, desire (syn.: posco, flagito, peto); constr. with aliquid, aliquid ab aliquo, aliquem aliquid, with ut (ne), de, with inf., or absol."
milium,milius,ADJ,22,-,Def. não encontrada
omnino,omnino,ADV,21,-,In partic.
oppugnatione,oppugnatio,NOUN,21,3,"A storming, assaulting, besieging; an attack, assault, siege (class.)."
muro,muro,NOUN,21,-,"To provide with walls (late Lat.): civitatem,Cassiod. Hist. Eccl. , ; Veg. Mil. , : ca stella,id. ib. , : urbes,Hier. in Isa. , ,  ext."
complures,compler,ADJ,21,-,Def. não encontrada
timere,timeo,VERB,21,-,"To fear, be afraid of, to dread, apprehend; to be afraid or in fear, to be fearful, apprehensive, or anxious; constr. with acc., rel.-clause, inf., ne or ut, and absol."
nobis,nos,PRON,21,-,"nōs, nostrum, etc., the plur. of ego, q. v. ("
consulto,consulo,VERB,21,-,A. [from con and root sal-; cf. consul and consilium].
inferiore,inferus,ADJ,21,-,"Nom. sing. infer: ubi super inferque vicinus permittet,Cato, R. R. ), adj. cf. Sanscr. adh-aras, adh-amas, the lower, lowest; and Lat. infra, that is below, underneath, lower; opp. superus."
interim,interim,ADV,21,-,"I.q. interea, meanwhile, in the meantime: ibo intro: tu hic ante aedes interim speculare,Plaut. Mil. , , : interim dum ante ostium sto,Ter. Eun. , , : hoc interim spatio conclave illud concidisse,Cic. de Or. , : quo fugit interim dolor ille?Quint. , , ; , , ."
condicionem,condicio,NOUN,21,-,"An agreement, stipulation, condition, compact, proposition, terms, demand."
desperata,despero,VERB,21,-,"A., to be hopeless; to have no hope of, to despair of, to give up (freq. and class.).—Constr. most freq. with de, the acc., or acc. and inf.; less freq. with the dat. or absol."
turres,turra,NOUN,21,-,Def. não encontrada
progredi,progredior,VERB,21,-,"Inf. progrediri, Plaut. Cas. , , ; imp. progredimino, id. Ps. , , ; act. collat. form, v.infra fin.), v. dep. a. [gradior], to come or go forth, to go or march forward, go on, advance, proceed (class.; syn.: prodeo, proficiscor)."
statuit,statuo,VERB,21,-,"To cause to stand (cf.: colloco, pono)."
sublato,tollo,VERB,21,-,"Perf. tollit, Pers. , : tollisse,Dig. , , ) [root Sanscr. tul-, tulajāmi, lift up, weigh; Gr. ταλ-, τελ, in τλῆναι, τάλαντον; cf.: tuli, tlātus (latus), tolerare], to lift or take up, to raise, always with the predom. idea of motion upwards or of removal from a former situation."
finitimis,finitus,ADJ,21,-,"fīnītus, a, um, Part. and , from finio."
ostendit,ostendo,VERB,21,-,In gen.
silvis,silvum,NOUN,21,-,Def. não encontrada
complent,compleo,VERB,21,-,"To fill up, fill full, fill out (class. in prose and poetry)."
vulneribus,vulnis,NOUN,21,-,Def. não encontrada
silvas,silvas,NOUN,21,-,Def. não encontrada
novis,novus,ADJ,21,-,"New, not old, young, fresh, recent, etc. (v. antiquus init.; cf.: recens, novellus)."
scire,scio,VERB,21,-,"In partic., of a woman, to know carnally a man (cf. of a man, cognosco), Treb. xxx. Tyr. .—*"
nomine,nomen,NOUN,21,3,"Gen. sing. NOMINVS, S. C. de Bacch. Corp. Inscr. Lat. , ), n. for gnōmen, from root gno, whence gnosco, nosco, co-gnosco, a name, appellation (syn. vocabulum)."
mortem,mors,NOUN,21,3,"Death in every form, natural or violent (syn.: letum, nex)."
deditionem,deditio,NOUN,21,3,"dedo, no. I. B."
intra,intra,ADP,21,-,"On the inside, within (class. only as a prep.)."
minora,paruus,ADJ,21,-,Def. não encontrada
sententia,sententia,NOUN,21,1,"A way of thinking, opinion, judgment, sentiment; a purpose, determination, decision, will, etc."
profectus,profectus,VERB,20,-,"prōfectus, a, um, Part., from proficio"
vitae,vita,NOUN,20,1,"Gen. sing. vitaï, Lucr. , ; , ; , ), f. vivo; Sanscr. gīv, to live; Gr. βίος, life, life."
luce,lux,NOUN,20,3,"V.infra; in Plaut. lux is usually ; Brix ad Plaut. Capt. , , ), luceo, light."
consequi,consequor,VERB,20,-,V. dep. a.
praemittit,praemitto,VERB,20,-,"To send forward or before, to despatch in advance."
proponit,propono,VERB,20,-,"To put or set forth, to set or lay out, to place before, expose to view, to display (class.)."
aperto,aperio,VERB,20,-,Metaph.
victis,vico,VERB,20,-,Def. não encontrada
caesari,caeso,VERB,20,3,"V. the letter K), , m.a caeso matris utero dictus, Plin. , , , § ; cf. Paul. ex Fest. p.  Müll.; Isid. Orig. , , , and v. Caesar init., a Roman cognomen in the gens Fabia, Liv. , , ; , ,  and ; , ,  sq. et saep."
reverterunt,reverto,VERB,20,-,"rĕ-verto (-vort-) and rĕ-vertor (-vort-), versus (-vors-) ("
quidam,quidam,DET,20,-,"quīdam, quaedam, quoddam, and"
morati,moror,VERB,20,-,V. dep. n. and a. [mora].
voluntate,voluntas,NOUN,20,3,"Will, freewill, wish, choice, desire, inclination."
magistratus,magistro,VERB,20,-,"măgistro, āre, v. magistero."
remittit,remitto,VERB,20,-,"Act., to let go back, send back, despatch back, drive back, cause to return (class. and very freq.; cf. reddo)."
praemiis,praemium,NOUN,20,2,Transf.
aditum,aditus,NOUN,20,-,"ădĭtus, a, um, Part. of . adeo."
expeditis,expedio,VERB,20,-,Transf.
centurionibus,centurio,NOUN,20,-,"To divide into centuries (acc. to centuria, I.)."
putarent,puto,VERB,20,-,"To clean, cleanse (in the lit. sense very rare; in the trop. very freq.)."
probato,probo,VERB,19,-,"To try, test, examine, inspect, judge of any thing in respect of its goodness, fitness, etc. (rare in class. Lat.; not in Cic. or Caes.; in eccl. Lat. very freq.)."
hortatur,horto,VERB,19,-,Def. não encontrada
deligit,deligo,VERB,19,-,"To choose out, to select (for syn. cf.: lego, coopto, designo, eligo, seligo)."
respondit,respondeo,VERB,19,-,In a more general signification.
expectare,exspecto,VERB,19,-,"To look out for a thing (syn.: prospecto, opperior, maneo, moror, praestolor)."
subsequi,subsequor,VERB,19,-,"A., to follow close after or immediately; to follow, succeed, ensue (class.)."
quaereret,quaero,VERB,19,-,To seek.
occiderunt,occido,VERB,19,-,"To strike down, strike to the ground; to beat, smash, crush."
navium,navius,NOUN,19,-,Def. não encontrada
calamitate,calamitas,NOUN,19,3,"Transf.: hostium adversus calamitates contendere,against the prostrate enemy,Just. , , ."
secunda,secundus,ADJ,19,-,Following.
egredi,egredior,VERB,19,-,"Inf. egredier, Plaut. Poen. , , ), v. dep. n. and a."
liberos,liber,NOUN,19,-,"That acts according to his own will and pleasure, is his own master; free, unrestricted, unrestrained, unimpeded, unshackled; independent, frank, open, bold (opp. servus, servilis)."
libertatem,libertas,NOUN,19,3,"Init.), , f.. liber, the state or condition of a freeman, a being free, freedom, liberty, freedom from restraint or obligation,   free will, etc."
plerumque,plerusque,DET,19,-,"Very many, a very great part, the most, most (rare in sing., and only in Sall. and post-class. writers; but in plur. freq. in all periods and styles)."
cohortes,cohor,NOUN,19,-,Def. não encontrada
natus,nascor,VERB,19,-,"Part. fut. nasciturus, Pall. Jun. , § ; Vulg. Judic. , ), , v. dep. from gnascor, gnatus, root gen, whence gigno; cf. Gr. γεννάω, to be born, to be begotten (of or by male or female)."
difficultatibus,difficultas,NOUN,19,3,"Gen. plur. difficultatium, Liv. , , ; Gell. , , ), f. difficilis, difficulty, trouble, distress, poverty, want."
regnum,regnum,NOUN,19,2,"In gen., dominion, sovereignty, rule, authority."
paene,paene,ADV,19,-,"paene (less correctly pēne),  etym. dub."
captivis,captivus,ADJ,19,-,Of living beings.
bellovacos,bellovacus,ADJ,19,-,Def. não encontrada
britanniam,britannia,NOUN,19,-,"The Britons, inhabitants of Great Britain, Lucr. , ; Caes. B. G. , ; , ; ,  et saep.; Tac. Agr.  sq.; id. A. , ; Verg. E. , ; Hor. C. , , ; , , ; , ,  et saep.— In sing. Britannus catenatus, Hor. Epod. , ."
perterritos,perterro,VERB,19,-,Def. não encontrada
adulescentem,adulesco,VERB,18,-,Def. não encontrada
officio,officium,NOUN,18,2,"A service, whether of free will or of (external or moral) necessity (class.; cf.: studium, beneficium, meritum, munus)."
consumptis,consumo,VERB,18,-,"Perf. sync. consumpsti, Prop. , , ; inf. consumpse, Lucr. , ), v. a., to take wholly or completely, i. e."
insula,insula,NOUN,18,1,"An island, isle, whether formed by the sea, a lake, or a river: insulam Britanniam,Cic. Fam. , , ; id. de Imp. Pomp.  fin.; Cic. Verr. , , , § ; Verg. A. , ; , : in lacu,Cic. Mil. , : Rheni amnis,Tac. G. ; Ov. F. , : in medio flumine nata,Gai. Inst. ,  al."
romanis,roma,NOUN,18,-,"Rōmānĭcus, a, um, adj., Roman: aratra, juga,i. e. made in Rome,Cato, R. R. , : fiscinae,id. ib. , , § ."
oportere,oportet,VERB,18,-,"Plur. (anteclass.): ut ea, quae oportuerint, facta non sint, Caecil. ap. Prisc. p.  P.: haec facta ab illo oportebant (al. oportebat),Ter. Heaut. , , ; cf. id. And. , , ."
diutius,diute,ADV,18,-,Def. não encontrada
vigilia,vigilia,NOUN,18,1,"Neutr. collat. form , Varr. ap. Non. p. , ) [vigil]."
aedificiis,aedificium,NOUN,18,2,aedifico
tempestatem,tempestas,NOUN,18,3,"V.in the foll.; gen. plur. tempestatium, Vitr. , , ), f. tempus."
detrimento,detrimentum,NOUN,18,2,A rubbing off. *
incitati,incito,VERB,18,-,"To set in rapid motion, to hasten, urge forwards; and with se, to put one's self in rapid motion, to hasten, rush (freq. and class.)."
sequanos,sequanus,NOUN,18,-,Def. não encontrada
oppida,oppida,NOUN,18,-,Def. não encontrada
iis,is,DET,18,-,"He, she, it; this or that man, woman, thing."
oppressi,opprimo,VERB,18,-,"To press against, press together; to press down (class.; syn. obruo)."
propinquis,propinquus,ADJ,18,-,"Near, neighboring (class.)."
impetrari,impetro,VERB,18,-,"In gen., constr. with acc., ut, ne, the simple subj., or absol."
cognoverant,cognoho,VERB,18,-,Def. não encontrada
legationes,legatio,NOUN,18,3,"The sending of an ambassador; hence, the office of an ambassador, an embassy, legation."
militaris,militaris,ADJ,18,-,"mīlitāris, e, adj.miles"
venisset,venibso,VERB,18,-,Def. não encontrada
referre,refero,VERB,18,-,"V. a. irr., to bear, carry, bring, draw, or give back (very freq. and class.; cf.: reduco, reporto, retraho)."
caesarem,caesar,NOUN,18,-,Derivv.
fugere,fugio,VERB,18,-,"Gen. plur. part. sync. fugientum, Hor. C. , , ; part. fut. fugiturus, Ov. H. ,  al.), , v. n. and a. [root FUG; Gr. ΦΥΓ, φεύγω; Sanscr. bhuj; syn.: flecto, curvo; v. fuga], to flee or fly, to take flight, run away."
proeliantur,proelio,VERB,17,-,"proelĭo, āre, ,  (ante-class.; collat. form of proelior): mortales inter sese pugnant, proeliant, Enn. ap. Non. ,  (Trag. v.  Vahl.); cf. Prisc. p.  P."
via,via,NOUN,17,-,Transf.
eburones,eburo,NOUN,17,-,Def. não encontrada
dignitatem,dignitas,NOUN,17,3,"Gen. plur. dignitatum, Sen. Ben. , , ; Plaut. Ep. , , ; Vop. Florian. , : -tatium,Sen. Polyb. , ), f. dignus."
hiemare,hiemo,VERB,17,-,A. [hiems].
tribunis,tribunus,NOUN,17,2,"A chieftain, commander, tribune."
ulteriorem,ultimus,ADJ,17,-,"ultĭmus, a, um, v. ulter, II."
beneficio,beneficium,NOUN,17,2,Transf. to political life.
